status,token_name,symbol,mint,source,entry_verdict,signal_set,signals,risk_signals,danger_signals,risk_count,danger_count,entry_time,exit_time,hold_seconds,entry_price,exit_price,current_price,final_pnl_percent,current_pnl_percent,max_gain,max_drawdown,exit_reason,liquidity_usd,volume_5m,volume_liquidity_ratio,token_age_minutes,price_change_5m,verdict,liquidity_at_entry,volume_5m_at_entry,age_minutes_at_entry,volume_liquidity_ratio_at_entry,dex_url,last_checked
closed,,DONALDTRUMP,5Pmyo95CwKzdRLLNGjUZTNtsei2f6daxqsbeP5zkpump,profile,,,,,,,,1782728744.871701,1782729005.44866,261,0.0001803,3.905e-05,3.905e-05,-78.3416528008874,-78.3416528008874,0.0,-78.3416528008874,rug,,,,,,,31472.07,,,,https://dexscreener.com/solana/5t2bs9ebxjccdhxmejwjlht33qeaf6riwaqcxmy7wwcu,1782729005.44866
closed,,Speedrun,PDqSePtjwXYaruFX7hdujV9wf4X7Z4fu5d2iVMCpump,boost,,,,,,,,1782731208.0012085,1782737389.9430387,6182,0.0001604,0.0003261,0.0003261,103.30423940149626,103.30423940149626,103.30423940149626,-14.83790523690772,take_profit,,,,,,,30734.71,,,,https://dexscreener.com/solana/c93imb1xhf9a2kzgaa5kzakhkm3xsrgf9pzhhkhgqiny,1782737389.9430387
closed,,BULLCAT,CkAuhMagnem2iukGwApsfw1ypWETWDdKFD1Xrrtspump,boost,,,,,,,,1782733833.7203524,1782738585.1622152,4751,0.0006269,0.0004365,0.0004365,-30.37167012282661,-30.37167012282661,0.38283617801881475,-30.37167012282661,stop_loss,,,,,,,65518.78,,,,https://dexscreener.com/solana/hh6ajghbw5err8rj9kc51zazvrchjvvranc2w8sy6g7j,1782738585.1622152
closed,,WIF,3L3ub2FBz15NeNgQVYpowANzANTNUiyKW5bfGVxYpump,profile,,,,,,,,1782739395.5416553,1782742770.2845545,3375,0.0001987,0.0001342,0.0001342,-32.460996477101155,-32.460996477101155,6.995470558631095,-32.460996477101155,stop_loss,,,,,,,32947.7,,,,https://dexscreener.com/solana/9ehdvwjukvstrjrpxobt3xme8h9mpa1d6wccixjscdgb,1782742770.2845545
closed,,Ansem,CzxahjYiv3TUNAoz5aSW9HmRs6vzo6mxyh6Ve8b3pump,profile,,,,,,,,1782740987.2717824,1782756556.101623,15569,0.0001679,0.0002618,0.0002618,55.92614651578322,55.92614651578322,55.92614651578322,-27.8141751042287,take_profit,,,,,,,30086.45,,,,https://dexscreener.com/solana/3zcambh7jokaigosmscrwsqvofd3aymixfzhrxlfcgrz,1782756556.101623
closed,,$SUNBULL,BXJ59Uhu4CqSYbF6vn448aQwFyFzTEibbxzk4S6Hpump,profile,,,,,,,,1782743808.21787,1782745412.995956,1605,0.0002763,0.0001114,0.0001114,-59.68150560984438,-59.68150560984438,6.225117625769086,-59.68150560984438,rug,,,,,,,39377.03,,,,https://dexscreener.com/solana/4f3f2sz6jz1kgscysfwirwnnagikkp9ffqrwjtxuvlpq,1782745412.995956
closed,,BULLWIF,5npesGsnVhcQbh6oVcsLtn5UKqdgYeipgDKsGaappump,boost,,,,,,,,1782744010.263554,1782745613.7816844,1604,0.0003775,0.0006556,0.0006556,73.66887417218543,73.66887417218543,73.66887417218543,-5.350993377483444,take_profit,,,,,,,64902.1,,,,https://dexscreener.com/solana/fxfml53napn8w5l7xqgaxachu7akfqo96eztnqjki59m,1782745613.7816844
closed,,DogPlane,54cDtZtEnvTHAzfo5bFkJf3GAZV9v5KJHEznu2dSpump,profile,,,,,,,,1782744213.3223622,1782748220.0192544,4007,0.0001659,0.0002623,0.0002623,58.10729355033152,58.10729355033152,58.10729355033152,0.0,take_profit,,,,,,,30134.98,,,,https://dexscreener.com/solana/e9eugks2tttnqxwrwdvxq2zdqqhlygrymanxiqdz8l88,1782748220.0192544
closed,,SOLS,83Z2tZyjgLrC2pFXKUiaxkzCTiWi68KkK6FEwNLKpump,profile,,,,,,,,1782744827.5498357,1782766499.2993288,21672,0.0001867,0.0001319,0.0001319,-29.351901446170324,-29.351901446170324,37.11837171933582,-29.351901446170324,timeout,,,,,,,31955.6,,,,https://dexscreener.com/solana/5ymyrmk8xxnpf89ypeqfn1ecgyfjydggahj9zeypjbxe,1782766499.2993288
closed,,ANSEMWORK,D5GsCgX3gVPhBYFuvrz99KnsQzmznd8JnE57Aesxpump,profile,,,,,,,,1782745029.661935,1782745613.7816844,584,0.0001827,0.0001173,0.0001173,-35.79638752052545,-35.79638752052545,0.0,-35.79638752052545,stop_loss,,,,,,,32437.42,,,,https://dexscreener.com/solana/casefruewtrzvt47cmd1ffkw8r6aas9yjc6vj2ftg6lz,1782745613.7816844
closed,,VOTE,9SxjtCPJVU8nDjCYJHGDKYqUMQCwnrY9gRWdsa22pump,profile,,,,,,,,1782748441.4935822,1782750241.9902775,1800,0.0001654,9.802e-05,9.802e-05,-40.73760580411125,-40.73760580411125,0.0,-40.73760580411125,stop_loss,,,,,,,30548.05,,,,https://dexscreener.com/solana/5klyyqpmzaycprqgokuwjufow6mhfi1besrfngyrfnpf,1782750241.9902775
closed,,bopdog,BZ8SLQP9zCK93zUdYj7XzUKHgVj71PCBXVYKtVSLpump,boost,,,,,,,,1782750665.9433463,1782761245.716308,10580,0.0001622,0.0001121,0.0001121,-30.887792848335394,-30.887792848335394,34.27866831072749,-30.887792848335394,stop_loss,,,,,,,30343.29,,,,https://dexscreener.com/solana/bngcs51k4gwcvzp5dysgjscqxcydjl3pko5vv5jnkswu,1782761245.716308
closed,,Hero Dog,25PidAxJKMw6rsikaeedKyhqH4JNnZbkjmGhtruVpump,profile,,,,,,,,1782754325.016928,1782755729.8716228,1405,0.0003099,0.0002076,0.0002076,-33.01064859632139,-33.01064859632139,0.0,-33.01064859632139,stop_loss,,,,,,,41939.15,,,,https://dexscreener.com/solana/2rg9ccxckgcq2eouesbobw7w7c1vprjbtzxymdhwumxp,1782755729.8716228
closed,,ANSEMTRENCH,7SoBgBncbcC8U6fmdGJPfi7dNM26aTJPxfhAGoLPpump,profile,,,,,,,,1782759446.6811118,1782760236.0402062,789,0.0001917,0.0002894,0.0002894,50.96504955659885,50.96504955659885,50.96504955659885,0.0,take_profit,,,,,,,32542.44,,,,https://dexscreener.com/solana/fs2juq2822tztdz1j66dqumg6pswowqjgame8qw7qrun,1782760236.0402062
closed,,BBF,A37jiDn7ANorAGj6NVVdwUFmxDK2D6zLxMKFcRGSpump,profile,,,,,,,,1782762676.557175,1782764670.2488685,1994,0.0001991,0.0001122,0.0001122,-43.646408839779,-43.646408839779,4.771471622300359,-43.646408839779,stop_loss,,,,,,,33406.4,,,,https://dexscreener.com/solana/2k2swhdxhcg63cmizwptr8yubf87rlmn93kafrkqcef8,1782764670.2488685
closed,,NAVE,EGg56E1YtL5YapzkF7vkRThHR8i5FeRvm2LLuySdYory,profile,,,,,,,,1782762877.5239072,1782763057.5512345,180,0.1638,0.2833,0.2833,72.95482295482294,72.95482295482294,72.95482295482294,0.0,take_profit,,,,,,,30721.59,,,,https://dexscreener.com/solana/deatfrfhdz1j5d2kb9pzqcdhj5bt7tbccwcbhwyzv4lu,1782763057.5512345
closed,,MMGA,6eDqAxts3AZ3cMBPQd3c4D1jzjX1uAQ4Lo53d6dUpump,profile,,,,,,,,1782765708.6043425,1782766703.704032,995,0.0002589,0.0004649,0.0004649,79.56740054074933,79.56740054074933,79.56740054074933,0.0,take_profit,,,,,,,41551.5,,,,https://dexscreener.com/solana/ekpvebbqhg8rlpar5udxgttbncpvyzn5wwrflkrlv8cu,1782766703.704032
closed,,privacy,GzJ4utQXCExCrf4KZD3EEZvCqBJWUvTTZCfMhUPVpump,profile,,,,,,,,1782768777.135199,1782769162.405111,385,0.0002347,0.0001476,0.0001476,-37.11120579463144,-37.11120579463144,0.0,-37.11120579463144,stop_loss,,,,,,,36853.25,,,,https://dexscreener.com/solana/6qjjqgpry28qgfckkg6yasgmyzmbg3ycz4gu8kcswbxx,1782769162.405111
closed,,AIRSEM,Fugm7Zq3Sku9KK7AWgw7nr4A8K3ro2SHif6Ai3qLpump,profile,,,,,,,,1782769596.9667287,1782771207.4410973,1610,0.000222,0.0003669,0.0003669,65.27027027027026,65.27027027027026,65.27027027027026,-4.32432432432432,take_profit,,,,,,,35066.77,,,,https://dexscreener.com/solana/5cu8skrutjdgiyx3f6npjtxsyuhhswszqmrr1mbmuwhn,1782771207.4410973
closed,,TJR,4U4U8oXwDyVXGeTffMXds4NAgBgLFwq3wNvTCRTSpump,profile,,,,,,,,1782772458.8315883,1782779179.493045,6721,0.001569,0.0008651,0.0008651,-44.8629700446144,-44.8629700446144,47.80114722753345,-44.8629700446144,stop_loss,,,,,,,94058.85,,,,https://dexscreener.com/solana/eg2sxq3zkt3zjqmnxg318avur8eo4yfupuvzeu6rigjn,1782779179.493045
closed,,TOLY,6JVpLGkXrcNz7XBBjP2uHc29ZnKa57nmSpewGzqgsNQx,profile,,,,,,,,1782774910.0752044,1782775294.8867636,385,0.007137,0.004781,0.004781,-33.011069076642855,-33.011069076642855,0.0,-33.011069076642855,stop_loss,,,,,,,65600.73,,,,https://dexscreener.com/solana/gnfjavqdzrifzlnvg1t5g2jrp9xiwfdnxdqyubzfnzhd,1782775294.8867636
closed,,MARVIN,8LZKRa3f23CrCTwLFRY9jQWRjFQwGiuP46Mk9jytpump,profile,,,,,,,,1782776750.0786033,1782784256.4505515,7506,9.041e-05,6.234e-05,6.234e-05,-31.04745050326291,-31.04745050326291,10.430262139143911,-31.04745050326291,stop_loss,,,,,,,30286.58,,,,https://dexscreener.com/solana/36wrqesg6bpkayfdwbwk7gjqp2wkzqcfs3y4qwz6rqr8,1782784256.4505515
open,,Pompliano,CH2amwcGDKTDcNy29nk5dhykPtB1Ls2nNqrMm4LHpump,profile,,,,,,,,1782777565.5565708,,,0.0001782,,0.000178,,-0.11223344556678164,31.98653198653199,-17.171717171717162,,,,,,,,31569.64,,,,https://dexscreener.com/solana/cytmmm817gd2fzfwpn31gjc8fhfudpdzeplwqyq97jxn,1782798448.7205567
closed,,TESTIBULL,C6kWVdLGAE3Eb8Xc6VRZbs9ZvouHhBMYbhd4BVagD4Da,profile,,,,,,,,1782779414.7548566,1782780409.1573706,994,0.002796,0.004267,0.004267,52.61087267525036,52.61087267525036,52.61087267525036,0.0,take_profit,,,,,,,130583.77,,,,https://dexscreener.com/solana/8jprbnmgrqm4dyhvuf18emhmkvav3tdupdz2cf6pdzwu,1782780409.1573706
closed,,NOAH,AYbQQ5oictsFufCmCE579ah1MHBLj2y1XDdr3MKxpump,profile,,,,,,,,1782779821.9867525,1782783045.1303313,3223,0.0001703,9.88e-05,9.88e-05,-41.98473282442748,-41.98473282442748,43.45273047563123,-41.98473282442748,stop_loss,,,,,,,32248.01,,,,https://dexscreener.com/solana/atgjnxtjwbs7s5gpej1xnvp5k2tatywahtkzpakkhxxp,1782783045.1303313
closed,,TJR,2838azpak6PsqVWC5UQYbSe675M2FkMS9e1Qa1ZMpump,profile,,,,,,,,1782784478.350567,1782784860.4390178,382,0.0005874,0.0003556,0.0003556,-39.46203609124957,-39.46203609124957,0.0,-39.46203609124957,stop_loss,,,,,,,56541.36,,,,https://dexscreener.com/solana/gh6hdsh1fchk35jk8jf1qjykz68dezyzfu4xv3hiexvc,1782784860.4390178
closed,,PORTNOY,84eYhZRCr8ZWaocYvCw7NUsPh8f4VeYEohfozeFwpump,profile,,,,,,,,1782786300.3722577,1782786682.2836225,382,0.000165,0.0001147,0.0001147,-30.484848484848488,-30.484848484848488,0.0,-30.484848484848488,stop_loss,,,,,,,30163.83,,,,https://dexscreener.com/solana/78vt8uhkvrxh7i4e2hw1orn8mxkyq2fhxvru2efdrrft,1782786682.2836225
closed,,b40,2GKyVqZz1pyWFMsQNQ9bWRfKFug9fFnxAP67dMSmpump,profile,,,,,,,,1782786300.3722577,1782787686.6097543,1386,0.000106,7.158e-05,7.158e-05,-32.471698113207545,-32.471698113207545,2.924528301886787,-32.471698113207545,stop_loss,,,,,,,33058.32,,,,https://dexscreener.com/solana/4eqyaxs2ssxftq18tbkdyr37bajlfsly56daeccsrp2i,1782787686.6097543
closed,,Potato,3oBRGPMpvR1TpHRx9oMEeJwSgwv7Fo7ndshuu2rQpump,boost,,,,,,,,1782786300.3722577,1782788709.429608,2409,0.0008454,0.0005798,0.0005798,-31.4170806718713,-31.4170806718713,0.0,-31.4170806718713,stop_loss,,,,,,,60935.48,,,,https://dexscreener.com/solana/7vkkjt6hvdqz7t6ttt7yzmpj165hmqx7fx2vmg25bfhg,1782788709.429608
closed,,ANSOME,CXwcR1oPSRwHKnPPEVwWuWxDuHezQPD2tEwn4rvnpump,profile,,,,,,,,1782786904.2091968,1782787686.6097543,782,0.0001939,0.0003088,0.0003088,59.257349149045915,59.257349149045915,59.257349149045915,0.0,take_profit,,,,,,,32004.79,,,,https://dexscreener.com/solana/2vspeewk7yu8a4xpwarhzlnmtzazhru4gkeygardnunh,1782787686.6097543
closed,,AnsemAnthem,5ZUHgzZW127LgXCPd25NTcttGiSxjepM9Dz42xyxpump,profile,,,,,,,,1782787305.3374832,1782788492.738545,1187,0.0001521,1.719e-06,1.719e-06,-98.86982248520711,-98.86982248520711,4.339250493096645,-98.86982248520711,rug,,,,,,,30244.84,,,,https://dexscreener.com/solana/ghsvmr1hut6tsvlzjd58lmcbw6gwwdnsrvfitnaktfrk,1782788492.738545
closed,,HOOLOND,nqEpAdYbbCzfs7YUbN2jXz8GfeHAPeefFQLv3cUpump,profile,,,,,,,,1782788730.7713737,1782789923.2873406,1193,0.0002577,0.0001701,0.0001701,-33.9930151338766,-33.9930151338766,6.635622817229351,-33.9930151338766,stop_loss,,,,,,,37671.98,,,,https://dexscreener.com/solana/gd5bm3sf5qutg7yvt6bn6sqc5qoefzfvdukamuhyeesm,1782789923.2873406
closed,,ANTOT,Aso39cjyYg1oPJdABSaFDZd6gQEa2E2ffogVfmvfpump,profile,,,,,,,,1782791354.6981227,1782792546.6853023,1192,0.0002942,0.0004845,0.0004845,64.68388851121686,64.68388851121686,64.68388851121686,0.0,take_profit,,,,,,,39691.11,,,,https://dexscreener.com/solana/ccspxxlaacetxuf4kg1jjchd3cydcnzj7bnrpqtvgsko,1782792546.6853023
closed,,SAVIOURS,2b27LMa8FbkWbHt8C5JzHciFyeKejFkCRyZ434Axpump,profile,,,,,,,,1782791759.6589305,1782791939.665809,180,0.0004218,0.0006521,0.0006521,54.599336178283544,54.599336178283544,54.599336178283544,0.0,take_profit,,,,,,,47905.1,,,,https://dexscreener.com/solana/f3zknvo4dg8ughj2mwsetgvhxqf1d8lutm6pxjwsxnqa,1782791939.665809
closed,,SUPERMAN,CzigqJ9h9mnfXq3G3jKBVcApKu8Kh8JtZGxarzY2pump,profile,,,,,,,,1782795208.378112,1782797431.539568,2223,0.002123,0.001039,0.001039,-51.05982100800753,-51.05982100800753,19.17098445595856,-51.05982100800753,rug,,,,,,,30906.61,,,,https://dexscreener.com/solana/hkdfgfxz9rn4zs7sjtsrhxmeegxqfodc4d55hkgj6jte,1782797431.539568
closed,,trenchies,DbqbFSSBEDaX9F6hnySDHKmKSE9PU1KTyJ7jwcd3xViS,profile,,,,,,,,1782795615.934973,1782796616.36868,1000,0.0006031,0.0004213,0.0004213,-30.144254684131983,-30.144254684131983,0.0,-30.144254684131983,stop_loss,,,,,,,60259.92,,,,https://dexscreener.com/solana/dp6ofnuse9xep37jn2witbevggdtmvtnhmjogc1la14t,1782796616.36868
closed,,ANSEMIQ,BvBe291ns3Uo8G8PWpaWzy8Hz85fsmRnGaipbK46pump,profile,,,,,,,,1782796640.6010723,1782798041.751792,1401,0.0002217,0.000353,0.000353,59.22417681551647,59.22417681551647,59.22417681551647,0.0,take_profit,,,,,,,35382.49,,,,https://dexscreener.com/solana/2qddxrbxqspkkjzzqcgpgqyuus1qevbbjvzw6ttptamd,1782798041.751792
